LASTNAME,FIRSTNAME,MIDDLENAME,NAMESUFFIX,RADDNUMBER,RHALFCODE,RPREDIRECTION,RSTREETNAME,RPOSTDIRECTION,RAPARTMENTTYPE,RAPARTMENT,RADDRNONSTD,RCITY,RZIP5,RZIP4,MAILADD1,MAILADD2,MAILADD3,MAILADD4,DOB,GENDER,ENROLLMENT,OTHERPARTY,COUNTYCODE,ED,LD,TOWNCITY,WARD,CD,SD,AD,LASTVOTERDATE,PREVYEARVOTED,PREVCOUNTY,PREVADDRESS,PREVNAME,COUNTYVRNUMBER,REGDATE,VRSOURCE,IDREQUIRED,IDMET,STATUS,REASONCODE,INACT_DATE,PURGE_DATE,SBOEID,voterhistory
LONG,JOSE,,,2772,,,MORGAN VIA,,,,,ENDWELL,13795,,,,,,19870508,M,OTH,,04,8,4,Windsor,10,19,52,121,20170423,,,,,8038374,20200201,DMV,N,N,A,,,,NY830cbd57-96ea-,2024 General Election(P);2024 Primary Election(P);2020 General Election(A);2020 Presidential Primary Election(P)
RODGERS,REGINA,,,2575,,,MARCUS MILL,,,10,,ENDICOTT,13903,,,,,,19360213,M,REP,,04,22,2,Vestal,14,19,52,121,20120515,,,,,7120868,19821215,DMV,N,N,A,,,,NY766abd27-a5b3-,2024 Presidential Primary Election(P);2022 General Election(P);2020 Presidential Primary Election(P);2019 General Election(P);2018 Primary Election(P);2018 General Election(P);2016 General Election(P);2016 Presidential Primary Election(P);2014 General Election(P);2013 General Election(P);2009 General Election(P);2008 Presidential Primary Election(P);2008 Primary Election(P);2008 General Election(P);2007 General Election(A);2006 Primary Election(P);2006 General Election(P);2004 General Election(P);2004 Presidential Primary Election(P);2003 General Election(A);2002 General Election(P);2000 Primary Election(M)
THOMPSON,MATTHEW,,,1918,,,CABRERA THROUGHWAY,,,1,,BINGHAMTON,13760,,,,,,19830720,F,OTH,,04,31,3,Colesville,1,19,52,124,20230517,,,,,3997281,20200326,CBOE,N,Y,I,,,,NYe437a174-dc88-,2024 General Election(A)
WATTS,MICHAEL,,,284,,,DAVID COMMON,,APT,,,ENDICOTT,13905,,,,,,19711003,F,DEM,GRE,04,14,9,Maine,7,19,52,121,20171223,,,,,4374754,19950108,MAIL,N,N,A,,,,NY34fe613f-a3e3-,2013 General Election(P);2004 Primary Election(P);2001 General Election(P)
WILLIAMS,GREGORY,,,1913,,,AMY BROOKS,,APT,,,BINGHAMTON,13901,,,,,,19360222,F,BLK,,04,12,4,Vestal,4,19,52,124,20140314,,,,,4078418,20100707,MAIL,N,Y,A,,,,NYa447f596-42ba-,2022 Primary Election(A)
RIVERA,RACHEL,,,2854,,,JOHNSON ROADS,,APT,9,,VESTAL,13905,,,,,,19030709,M,REP,,04,4,10,Windsor,1,19,52,124,20100102,,,,,8999183,19830313,DMV,Y,Y,A,,,,NY0cbdea30-aab2-,2014 Primary Election(M);2012 Presidential Primary Election(P);2008 General Election(A)
MOORE,LAUREN,,,1430,,,LANE JUNCTIONS,,APT,6,,JOHNSON CITY,13905,,,,,,19360203,F,BLK,,04,17,10,Lisle,9,19,52,121,20210910,,,,,2737893,19800820,DMV,N,Y,A,,,,NY8f72e8c1-22ee-,2025 General Election(P);2024 Presidential Primary Election(E);2024 Primary Election(A);2023 General Election(P);2022 General Election(E);2020 Presidential Primary Election(P);2019 General Election(A);2018 General Election(A);2018 Primary Election(P);2016 Presidential Primary Election(A);2015 General Election(A);2014 General Election(P);2013 General Election(P);2012 Presidential Primary Election(P);2012 General Election(A);2012 Primary Election(P);2011 General Election(P);2008 General Election(P);2007 General Election(P);2006 General Election(P);2005 General Election(O);2004 General Election(P);2004 Presidential Primary Election(P);2004 Primary Election(P);2003 General Election(E);2002 General Election(P);2001 General Election(P);2000 General Election(P);2000 Primary Election(P)
GRAVES,JOHN,,,3540,,,WEBSTER DRIVE,,,,,ENDICOTT,13903,,,,,,19110324,F,DEM,,04,32,4,Vestal,14,19,52,123,20110527,,,,,4818418,19900314,DMV,Y,Y,A,,,,NYf483c667-ecc5-,2014 General Election(E);2005 General Election(P);2004 Presidential Primary Election(P)
FARMER,DAVID,,III,2814,,,REBEKAH ORCHARD,,,,,ENDICOTT,13790,,,,,,19381214,F,BLK,,04,24,10,Kirkwood,11,19,52,121,20230517,,,,,6188935,20160409,AGCY,N,N,A,,,,NY4d87795b-2f14-,2022 General Election(A)
SIMMONS,CODY,,,2094,,,JULIE PARKWAYS,,,3,,BINGHAMTON,13760,,,,,,19680615,F,REP,,04,9,11,Conklin,4,19,52,121,20040102,,,,,5107776,20071020,AGCY,Y,N,A,,,,NYcac67a2f-c4ae-,2025 General Election(A);2023 General Election(P);2023 Primary Election(P);2023 General Election(E);2021 General Election(P);2019 General Election(P);2019 Primary Election(E);2017 Primary Election(P);2015 Primary Election(P);2015 General Election(P);2015 General Election(P);2013 General Election(P);2013 General Election(P);2013 Primary Election(P);2011 General Election(P);2007 General Election(P);2007 Primary Election(A)
